UniProt_Accession	UniProt_Entry_Name	Gene_Symbol
Q9NVI7	ATD3A_HUMAN	ATAD3A
Q9NVN3	RIC8B_HUMAN	RIC8B
Q9NVN8	GNL3L_HUMAN	GNL3L
Q9NVP1	DDX18_HUMAN	DDX18
Q9NVS2	RT18A_HUMAN	MRPS18A
Q9NWH9	SLTM_HUMAN	SLTM
Q9NWK9	BCD1_HUMAN	ZNHIT6
Q9NWU2	GID8_HUMAN	GID8
Q9NWU5	RM22_HUMAN	MRPL22
Q9NWV8	BABA1_HUMAN	BABAM1
Q9NWW5	CLN6_HUMAN	CLN6
Q9NX24	NHP2_HUMAN	NHP2
Q9NX58	LYAR_HUMAN	LYAR
Q9NX63	MIC19_HUMAN	CHCHD3
Q9NXF7	DCA16_HUMAN	DCAF16
Q9NXG2	THUM1_HUMAN	THUMPD1
Q9NXH9	TRM1_HUMAN	TRMT1
Q9NXS2	QPCTL_HUMAN	QPCTL
Q9NXV6	CARF_HUMAN	CDKN2AIP
Q9NXW2	DJB12_HUMAN	DNAJB12
Q9NY12	GAR1_HUMAN	GAR1
Q9NY61	AATF_HUMAN	AATF
Q9NY93	DDX56_HUMAN	DDX56
Q9NYB0	TE2IP_HUMAN	TERF2IP
Q9NYB9	ABI2_HUMAN	ABI2
Q9NYF8	BCLF1_HUMAN	BCLAF1
Q9NYK5	RM39_HUMAN	MRPL39
Q9NYU2	UGGG1_HUMAN	UGGT1
Q9NZ32	ARP10_HUMAN	ACTR10
Q9NZB2	F120A_HUMAN	FAM120A
Q9NZI8	IF2B1_HUMAN	IGF2BP1
Q9NZL4	HPBP1_HUMAN	HSPBP1
Q9NZT1	CALL5_HUMAN	CALML5
Q9NZZ3	CHMP5_HUMAN	CHMP5
Q9P000	COMD9_HUMAN	COMMD9
Q9P015	RM15_HUMAN	MRPL15
Q9P031	TAP26_HUMAN	CCDC59
Q9P032	NDUF4_HUMAN	NDUFAF4
Q9P035	HACD3_HUMAN	HACD3
Q9P0J0	NDUAD_HUMAN	NDUFA13
Q9P0M6	H2AW_HUMAN	MACROH2A2
Q9P0M9	RM27_HUMAN	MRPL27
Q9P0P8	MRES1_HUMAN	MTRES1
Q9P246	STIM2_HUMAN	STIM2
Q9P258	RCC2_HUMAN	RCC2
Q9P267	MBD5_HUMAN	MBD5
Q9P287	BCCIP_HUMAN	BCCIP
Q9P2B7	CFA97_HUMAN	CFAP97
Q9P2I0	CPSF2_HUMAN	CPSF2
Q9P2J5	SYLC_HUMAN	LARS1
Q9P2R3	ANFY1_HUMAN	ANKFY1
Q9P2R7	SUCB1_HUMAN	SUCLA2
Q9UBB4	ATX10_HUMAN	ATXN10
Q9UBF2	COPG2_HUMAN	COPG2
Q9UBI1	COMD3_HUMAN	COMMD3
Q9UBN7	HDAC6_HUMAN	HDAC6
Q9UBP6	TRMB_HUMAN	METTL1
Q9UBQ5	EIF3K_HUMAN	EIF3K
Q9UBS4	DJB11_HUMAN	DNAJB11
Q9UBU9	NXF1_HUMAN	NXF1
Q9UBV2	SE1L1_HUMAN	SEL1L
Q9UBV8	PEF1_HUMAN	PEF1
Q9UBX3	DIC_HUMAN	SLC25A10
Q9UDY4	DNJB4_HUMAN	DNAJB4
Q9UEG4	ZN629_HUMAN	ZNF629
Q9UET6	TRM7_HUMAN	FTSJ1
Q9UEY8	ADDG_HUMAN	ADD3
Q9UFC0	LRWD1_HUMAN	LRWD1
Q9UH17	ABC3B_HUMAN	APOBEC3B
Q9UH62	ARMX3_HUMAN	ARMCX3
Q9UHB7	AFF4_HUMAN	AFF4
Q9UHB9	SRP68_HUMAN	SRP68
Q9UHD1	CHRD1_HUMAN	CHORDC1
Q9UHD8	SEPT9_HUMAN	SEPTIN9
Q9UHD9	UBQL2_HUMAN	UBQLN2
Q9UHH9	IP6K2_HUMAN	IP6K2
Q9UHV9	PFD2_HUMAN	PFDN2
Q9UHX1	PUF60_HUMAN	PUF60
Q9UI09	NDUAC_HUMAN	NDUFA12
Q9UI10	EI2BD_HUMAN	EIF2B4
Q9UI30	TR112_HUMAN	TRMT112
Q9UID3	VPS51_HUMAN	VPS51
Q9UJA5	TRM6_HUMAN	TRMT6
Q9UJC3	HOOK1_HUMAN	HOOK1
Q9UJS0	S2513_HUMAN	SLC25A13
Q9UJV9	DDX41_HUMAN	DDX41
Q9UJW0	DCTN4_HUMAN	DCTN4
Q9UJX2	CDC23_HUMAN	CDC23
Q9UJX3	APC7_HUMAN	ANAPC7
Q9UJZ1	STML2_HUMAN	STOML2
Q9UKD2	MRT4_HUMAN	MRTO4
Q9UKF6	CPSF3_HUMAN	CPSF3
Q9UKK6	NXT1_HUMAN	NXT1
Q9UKM9	RALY_HUMAN	RALY
Q9UKN8	TF3C4_HUMAN	GTF3C4
Q9UKV3	ACINU_HUMAN	ACIN1
Q9UKV8	AGO2_HUMAN	AGO2
Q9UKX7	NUP50_HUMAN	NUP50
Q9UL15	BAG5_HUMAN	BAG5
Q9UL40	ZN346_HUMAN	ZNF346
Q9ULA0	DNPEP_HUMAN	DNPEP
Q9ULI1	NWD2_HUMAN	NWD2
Q9ULT8	HECD1_HUMAN	HECTD1
Q9ULW3	ABT1_HUMAN	ABT1
Q9ULX6	AKP8L_HUMAN	AKAP8L
Q9UM13	APC10_HUMAN	ANAPC10
Q9UMS4	PRP19_HUMAN	PRPF19
Q9UMX0	UBQL1_HUMAN	UBQLN1
Q9UN81	LORF1_HUMAN	L1RE1
Q9UN86	G3BP2_HUMAN	G3BP2
Q9UNE7	CHIP_HUMAN	STUB1
Q9UNF1	MAGD2_HUMAN	MAGED2
Q9UNH7	SNX6_HUMAN	SNX6
Q9UNL2	SSRG_HUMAN	SSR3
Q9UNM6	PSD13_HUMAN	PSMD13
Q9UNQ2	DIM1_HUMAN	DIMT1
Q9UNS2	CSN3_HUMAN	COPS3
Q9UNX3	RL26L_HUMAN	RPL26L1
Q9UPN7	PP6R1_HUMAN	PPP6R1
Q9UPN9	TRI33_HUMAN	TRIM33
Q9UPP1	PHF8_HUMAN	PHF8
Q9UPT8	ZC3H4_HUMAN	ZC3H4
Q9UPY3	DICER_HUMAN	DICER1
Q9UQ35	SRRM2_HUMAN	SRRM2
Q9UQE7	SMC3_HUMAN	SMC3
Q9UQN3	CHM2B_HUMAN	CHMP2B
Q9Y224	RTRAF_HUMAN	RTRAF
Q9Y230	RUVB2_HUMAN	RUVBL2
Q9Y237	PIN4_HUMAN	PIN4
Q9Y241	HIG1A_HUMAN	HIGD1A
Q9Y262	EIF3L_HUMAN	EIF3L
Q9Y265	RUVB1_HUMAN	RUVBL1
Q9Y266	NUDC_HUMAN	NUDC
Q9Y285	SYFA_HUMAN	FARSA
Q9Y291	RT33_HUMAN	MRPS33
Q9Y295	DRG1_HUMAN	DRG1
Q9Y2A7	NCKP1_HUMAN	NCKAP1
Q9Y2E4	DIP2C_HUMAN	DIP2C
Q9Y2L1	RRP44_HUMAN	DIS3
Q9Y2Q9	RT28_HUMAN	MRPS28
Q9Y2R5	RT17_HUMAN	MRPS17
Q9Y2R9	RT07_HUMAN	MRPS7
Q9Y2S7	PDIP2_HUMAN	POLDIP2
Q9Y2T2	AP3M1_HUMAN	AP3M1
Q9Y2W1	TR150_HUMAN	THRAP3
Q9Y2X3	NOP58_HUMAN	NOP58
Q9Y2Z0	SGT1_HUMAN	SUGT1
Q9Y2Z4	SYYM_HUMAN	YARS2
Q9Y312	AAR2_HUMAN	AAR2
Q9Y333	LSM2_HUMAN	LSM2
Q9Y383	LC7L2_HUMAN	LUC7L2
Q9Y399	RT02_HUMAN	MRPS2
Q9Y3B2	EXOS1_HUMAN	EXOSC1
Q9Y3B4	SF3B6_HUMAN	SF3B6
Q9Y3B7	RM11_HUMAN	MRPL11
Q9Y3B9	RRP15_HUMAN	RRP15
Q9Y3C1	NOP16_HUMAN	NOP16
Q9Y3C6	PPIL1_HUMAN	PPIL1
Q9Y3D0	CIA2B_HUMAN	CIAO2B
Q9Y3D3	RT16_HUMAN	MRPS16
Q9Y3D5	RT18C_HUMAN	MRPS18C
Q9Y3D6	FIS1_HUMAN	FIS1
Q9Y3D9	RT23_HUMAN	MRPS23
Q9Y3F4	STRAP_HUMAN	STRAP
Q9Y3I0	RTCB_HUMAN	RTCB
Q9Y3T6	R3HC1_HUMAN	R3HCC1
Q9Y3U8	RL36_HUMAN	RPL36
Q9Y3Y2	CHTOP_HUMAN	CHTOP
Q9Y3Z3	SAMH1_HUMAN	SAMHD1
Q9Y421	FA32A_HUMAN	FAM32A
Q9Y450	HBS1L_HUMAN	HBS1L
Q9Y4A5	TRRAP_HUMAN	TRRAP
Q9Y4C2	TCAF1_HUMAN	TCAF1
Q9Y4C8	RBM19_HUMAN	RBM19
Q9Y4E8	UBP15_HUMAN	USP15
Q9Y4I1	MYO5A_HUMAN	MYO5A
Q9Y4L5	RN115_HUMAN	RNF115
Q9Y4P3	TBL2_HUMAN	TBL2
Q9Y4W6	AFG32_HUMAN	AFG3L2
Q9Y4Y9	LSM5_HUMAN	LSM5
Q9Y4Z0	LSM4_HUMAN	LSM4
Q9Y508	RN114_HUMAN	RNF114
Q9Y520	PRC2C_HUMAN	PRRC2C
Q9Y580	RBM7_HUMAN	RBM7
Q9Y5A9	YTHD2_HUMAN	YTHDF2
Q9Y5B6	PAXB1_HUMAN	PAXBP1
Q9Y5B9	SP16H_HUMAN	SUPT16H
Q9Y5J9	TIM8B_HUMAN	TIMM8B
Q9Y5K6	CD2AP_HUMAN	CD2AP
Q9Y5L4	TIM13_HUMAN	TIMM13
Q9Y5Q8	TF3C5_HUMAN	GTF3C5
Q9Y5Q9	TF3C3_HUMAN	GTF3C3
Q9Y5S9	RBM8A_HUMAN	RBM8A
Q9Y5V0	ZN706_HUMAN	ZNF706
Q9Y5V3	MAGD1_HUMAN	MAGED1
Q9Y5Y2	NUBP2_HUMAN	NUBP2
Q9Y606	TRUA_HUMAN	PUS1
Q9Y657	SPIN1_HUMAN	SPIN1
Q9Y676	RT18B_HUMAN	MRPS18B
Q9Y678	COPG1_HUMAN	COPG1
Q9Y696	CLIC4_HUMAN	CLIC4
Q9Y697	NFS1_HUMAN	NFS1
Q9Y6A4	CFA20_HUMAN	CFAP20
Q9Y6A5	TACC3_HUMAN	TACC3
Q9Y6G9	DC1L1_HUMAN	DYNC1LI1
Q9Y6K9	NEMO_HUMAN	IKBKG
Q9Y6M1	IF2B2_HUMAN	IGF2BP2
Q9Y6M9	NDUB9_HUMAN	NDUFB9
